Host,Space Name,Title,Ended,Speakers,Duration,Participants,Space Link
BandaWeb3,"Testing testing 123 
 -Ended: Mar 21 2023 - Duration: 02m",Testing testing 123,Mar 21 2023,,02m,1,https://x.com/i/spaces/1BdGYyWqLAQGX
BandaWeb3,"BandaWeb3 con @guillaumemcfly - me pagó MtGox 
 -Ended: Jul 25 2024 - Duration: 1h 15m",BandaWeb3 con @guillaumemcfly - me pagó MtGox,Jul 25 2024,,1h 15m,81,https://x.com/i/spaces/1nAJEpvWBNAGL
BandaWeb3,"BW3 - Apps Web2, XRC20 🌉 2️⃣ @Arbitrum, $WEN, $JUP 
 -Ended: Jan 30 2024 - Speakers: 6 - Duration: 1h 49m","BW3 - Apps Web2, XRC20 🌉 2️⃣ @Arbitrum, $WEN, $JUP",Jan 30 2024,6,1h 49m,92,https://x.com/i/spaces/1nAKEanZYlAKL
BandaWeb3,"La abogada, la economista y el inge - la historia del dinero/halving 
 -Ended: Apr 18 2024 - Duration: 00m","La abogada, la economista y el inge - la historia del dinero/halving",Apr 18 2024,,00m,1,https://x.com/i/spaces/1lPKqbnjljQGb
BandaWeb3,"banda web3 - @unlocksummit_io 2da edición 2024 24-25 mayo puebla 
 -Ended: Apr 15 2024 - Duration: 00m",Banda web3 - taller para devs web3 en mty con @leemarreros,Feb 29 2024,5,1h 24m,1,https://x.com/i/spaces/1zqKVqrnLLpxB
BandaWeb3,"La abogada y el ingeniero- Violencia digital 
 -Ended: Mar 21 2024 - Speakers: 8 - Duration: 2h 07m",BandaWeb3 - crudeando post #GlobalPizzaParty,May 23 2024,13,1h 54m,202,https://x.com/i/spaces/1ypJdkXPLyNGW
BandaWeb3,"BandaWeb3 - 003 @sandym_c 
 -Ended: Sep 10 2024 - Speakers: 9 - Duration: 1h 50m",BandaWeb3 - Verborrea con mexi.wtf parte 2,Aug 13 2024,,45m,125,https://x.com/i/spaces/1mnxeAPBjqZxX
BandaWeb3,"banda web3 - nftnyc 2024 
 -Ended: Apr 9 2024 - Speakers: 6 - Duration: 1h 55m",banda web3 - nftnyc 2024,Apr 9 2024,6,1h 55m,158,https://x.com/i/spaces/1BRJjPLOrrNKw
BandaWeb3,"BandaWeb3 - 003 @sandym_c 
 -Ended: Sep 10 2024 - Speakers: 9 - Duration: 1h 50m",BandaWeb3 - 003 @sandym_c,Sep 10 2024,9,1h 50m,125,https://x.com/i/spaces/1mnxeAPBjqZxX
BandaWeb3,"BandaWeb3 - Onchain Summer Buildathon en @base 
 -Ended: Jun 20 2024 - Speakers: 5 - Duration: 1h 08m",BandaWeb3 - Onchain Summer Buildathon en @base,Jun 20 2024,5,1h 08m,91,https://x.com/i/spaces/1rmxPMMMDbQKN
BandaWeb3,"BandaWeb3 - @BitcoinWeekio en Monterrey 
 -Ended: Jun 25 2024 - Duration: 00m",BandaWeb3 - @BitcoinWeekio en Monterrey,Jun 25 2024,,00m,0,https://x.com/i/spaces/1rmxPMoNvwnKN
BandaWeb3,"BandaWeb3 - crudeando post #GlobalPizzaParty 
 -Ended: May 23 2024 - Speakers: 13 - Duration: 1h 54m",BandaWeb3 - crudeando post #GlobalPizzaParty,May 23 2024,13,1h 54m,179,https://x.com/i/spaces/1ynKOyqXALOJR
BandaWeb3,"banda web3 - la historia del dinero, bitcoin, halving 
 -Ended: Apr 18 2024 - Speakers: 2 - Duration: 1h 18m","banda web3 - la historia del dinero, bitcoin, halving",Apr 18 2024,2,1h 18m,77,https://x.com/i/spaces/1vOGwjAqLRgKB
BandaWeb3,"banda web3 - becas austin, gitcoin retropgf,palnorte 
 -Ended: Mar 28 2024 - Speakers: 3 - Duration: 1h 21m","banda web3 - becas austin, gitcoin retropgf,palnorte",Mar 28 2024,3,1h 21m,39,https://x.com/i/spaces/1vOxwjvgbbDJB
BandaWeb3,"banda web3 - solana con @brazilliancare @superteammx 
 -Ended: May 2 2024 - Speakers: 2 - Duration: 1h 18m",banda web3 - solana con @brazilliancare @superteammx,May 2 2024,2,1h 18m,59,https://x.com/i/spaces/1yoKMwjwzlYJQ
BandaWeb3,"BandaWeb3 - Exhibiciones IRL: TokyoSolidMexico2 
 -Ended: May 16 2024 - Duration: 00m",BandaWeb3 - Exhibiciones IRL: TokyoSolidMexico2,May 16 2024,,00m,0,https://x.com/i/spaces/1yoKMwadpAoJQ
BandaWeb3,"BandaWeb3 #005 @haycarlitos 
 -Ended: Oct 1 2024 - Speakers: 2 - Duration: 1h 29m",BandaWeb3 #005 @haycarlitos,Oct 1 2024,2,1h 29m,49,https://x.com/i/spaces/1vOxwrpvWNDJB
BandaWeb3,"banda web3 - taller para devs web3 en mty con @leemarreros 
 -Ended: Feb 29 2024 - Speakers: 5 - Duration: 1h 24m",banda web3 - taller para devs web3 en mty con @leemarreros,Feb 29 2024,5,1h 24m,57,https://x.com/i/spaces/1yNGaZnAqlnJj
BandaWeb3,"banda web3 - los correos de satoshi con @das_grasshopper 
 -Ended: Feb 27 2024 - Speakers: 2 - Duration: 1h 19m",banda web3 - los correos de satoshi con @das_grasshopper,Feb 27 2024,2,1h 19m,112,https://x.com/i/spaces/1yNxaZnjErvKj
BandaWeb3,"banda web3 - reset del token de gobernanza de @meta_pool 
 -Ended: Mar 26 2024 - Speakers: 7 - Duration: 1h 47m",banda web3 - reset del token de gobernanza de @meta_pool,Mar 26 2024,7,1h 47m,86,https://x.com/i/spaces/1ynJOyWRBXqKR
BandaWeb3,"BandaWeb3 - Transparencia en Web3 
 -Ended: Jul 9 2024 - Speakers: 18 - Duration: 2h 36m",BandaWeb3 - Transparencia en Web3,Jul 9 2024,18,2h 36m,405,https://x.com/i/spaces/1yoKMwPPdyOJQ
BandaWeb3,"la abogada y el inge - @gitcoin ronda de comunidades latam 
 -Ended: Mar 7 2024 - Speakers: 7 - Duration: 1h 49m",la abogada y el inge - @gitcoin ronda de comunidades latam,Mar 7 2024,7,1h 49m,102,https://x.com/i/spaces/1yoJMwDmRRRKQ
BandaWeb3,"BandaWeb3 - Hackathon Cámara de Diputados @Research_Kairos 
 -Ended: May 21 2024 - Speakers: 11 - Duration: 1h 47m",BandaWeb3 - Hackathon Cámara de Diputados @Research_Kairos,May 21 2024,11,1h 47m,146,https://x.com/i/spaces/1PlKQDmZoWdxE
BandaWeb3,"BandaWeb3 #010 @andreweb3_btc 
 -Ended: Nov 5 2024 - Duration: 1h 29m",BandaWeb3 #010 @andreweb3_btc,Nov 5 2024,,1h 29m,48,https://x.com/i/spaces/1BRJjwWpMeoxw
BandaWeb3,"banda web3 - taller el método con @solencontraluz 
 -Ended: Feb 22 2024 - Speakers: 6 - Duration: 1h 30m",banda web3 - taller el método con @solencontraluz,Feb 22 2024,6,1h 30m,80,https://x.com/i/spaces/1BRKjPkqaOeJw
BandaWeb3,"BandaWeb3 - @VenusProtocol 
 -Ended: Oct 23 2024 - Speakers: 3 - Duration: 1h 33m",BandaWeb3 - @VenusProtocol,Oct 23 2024,3,1h 33m,64,https://x.com/i/spaces/1BdGYrZZmaYJX
BandaWeb3,"BandaWeb3 - @BitcoinWeekio en Mty (26 y 27 de Junio) 
 -Ended: Jun 18 2024 - Speakers: 7 - Duration: 1h 11m",BandaWeb3 - @BitcoinWeekio en Mty (26 y 27 de Junio),Jun 18 2024,7,1h 11m,147,https://x.com/i/spaces/1DXGyjjrLdLJM
BandaWeb3,"banda web3 - eventos @nounsmx @musica_w3 @nerdconf_ar 
 -Ended: Feb 13 2024 - Speakers: 10 - Duration: 2h 41m",banda web3 - eventos @nounsmx @musica_w3 @nerdconf_ar,Feb 13 2024,10,2h 41m,210,https://x.com/i/spaces/1LyGBnlWbEaGN
BandaWeb3,"banda web3 - estado del ecosistema web3 (2017-2024) 
 -Ended: Apr 16 2024 - Duration: 01m",banda web3 - estado del ecosistema web3 (2017-2024),Apr 16 2024,,01m,9,https://x.com/i/spaces/1LyxBnrmrlaxN
BandaWeb3,"banda web3 - @thebafnetwork becadxs para @consensus2024 
 -Ended: May 9 2024 - Speakers: 11 - Duration: 1h 23m",banda web3 - @thebafnetwork becadxs para @consensus2024,May 9 2024,11,1h 23m,122,https://x.com/i/spaces/1MYGNodVrmzJw
BandaWeb3,"BandaWeb3 - @lazonatres Certificaciones en Aptos 
 -Ended: Jun 11 2024 - Speakers: 3 - Duration: 1h 46m",BandaWeb3 - @lazonatres Certificaciones en Aptos,Jun 11 2024,3,1h 46m,289,https://x.com/i/spaces/1MYxNogDdXRKw
BandaWeb3,"BandaWeb3 #008 @jgonzalezferrer 
 -Ended: Oct 24 2024 - Speakers: 2 - Duration: 1h 30m",BandaWeb3 #008 @jgonzalezferrer,Oct 24 2024,2,1h 30m,80,https://x.com/i/spaces/1MnxnDraMVyGO
BandaWeb3,"Hackathon @ETHCincodeMayo con @solencontraluz 
 -Ended: Feb 6 2024 - Speakers: 12 - Duration: 2h 03m",Hackathon @ETHCincodeMayo con @solencontraluz,Feb 6 2024,12,2h 03m,152,https://x.com/i/spaces/1MnxnMzzjVEJO
BandaWeb3,"banda web3 - @MonkDoesnt de @backpack y @madlads 
 -Ended: May 7 2024 - Duration: 00m",banda web3 - @MonkDoesnt de @backpack y @madlads,May 7 2024,,00m,1,https://x.com/i/spaces/1OdKrjvAkqAKX
BandaWeb3,"banda web3 - panorama general 2017-2024 
 -Ended: Apr 16 2024 - Duration: 1h 27m",banda web3 - panorama general 2017-2024,Apr 16 2024,,1h 27m,117,https://x.com/i/spaces/1OwGWYEvDYexQ
BandaWeb3,"banda web3 - @natzcalli de @vadiexchange tokenizar empresas 
 -Ended: Mar 5 2024 - Speakers: 3 - Duration: 1h 31m",banda web3 - @natzcalli de @vadiexchange tokenizar empresas,Mar 5 2024,3,1h 31m,60,https://x.com/i/spaces/1OwxWYrlQlpGQ
BandaWeb3,"BandaWeb3 - Hackathon en @mx_diputados @research_kairos 
 -Ended: Jun 6 2024 - Speakers: 12 - Duration: 1h 59m",BandaWeb3 - Hackathon en @mx_diputados @research_kairos,Jun 6 2024,12,1h 59m,245,https://x.com/i/spaces/1OwxWYzEBpZGQ
BandaWeb3,"banda web3 - global pizza day @pizza_dao 
 -Ended: May 14 2024 - Speakers: 6 - Duration: 1h 08m",banda web3 - global pizza day @pizza_dao,May 14 2024,6,1h 08m,86,https://x.com/i/spaces/1OyKAWezombJb
BandaWeb3,"BandaWeb3 #009 @VizZu11_11 
 -Ended: Oct 29 2024 - Speakers: 2 - Duration: 1h 21m",BandaWeb3 #009 @VizZu11_11,Oct 29 2024,2,1h 21m,33,https://x.com/i/spaces/1lDxLlRbwabxm
BandaWeb3,"BandaWeb3 - Eventos Web3 en Monterrey 
 -Ended: Aug 22 2024 - Speakers: 10 - Duration: 1h 29m",BandaWeb3 - Eventos Web3 en Monterrey,Aug 22 2024,10,1h 29m,106,https://x.com/i/spaces/1RDxlyDvXejKL
BandaWeb3,"BandaWeb3 con @sohobiit - @UnlockProtocol RetroQF #2 
 -Ended: Jul 23 2024 - Speakers: 3 - Duration: 1h 33m",BandaWeb3 con @sohobiit - @UnlockProtocol RetroQF #2,Jul 23 2024,3,1h 33m,78,https://x.com/i/spaces/1YpJklXMLomxj
BandaWeb3,"banda web3 - @unlocksummit_io 2da edición - 24 y 25 de mayo - puebla 
 -Ended: Apr 23 2024 - Speakers: 5 - Duration: 1h 19m",banda web3 - @unlocksummit_io 2da edición - 24 y 25 de mayo - puebla,Apr 23 2024,5,1h 19m,96,https://x.com/i/spaces/1YpKkwEaNXYKj
BandaWeb3,"BandaWeb3 - #001 @0xKaroShow 
 -Ended: Aug 29 2024 - Duration: 1h 20m",BandaWeb3 - #001 @0xKaroShow,Aug 29 2024,,1h 20m,79,https://x.com/i/spaces/1ZkKzRgLvbLKv
BandaWeb3,"banda web3 - @lalocripto @abrahamcr de @bandocool 
 -Ended: Apr 25 2024 - Speakers: 4 - Duration: 1h 17m",banda web3 - @lalocripto @abrahamcr de @bandocool,Apr 25 2024,4,1h 17m,94,https://x.com/i/spaces/1dRJZEgNzeNGB
BandaWeb3,"banda web3 - runes #Sub100k 
 -Ended: Apr 30 2024 - Speakers: 5 - Duration: 1h 03m",banda web3 - runes #Sub100k,Apr 30 2024,5,1h 03m,142,https://x.com/i/spaces/1dRKZEOPdPQxB
BandaWeb3,"banda web3 - @solencontraluz el metodo web3 - monetiza ya! 
 -Ended: Feb 15 2024 - Speakers: 3 - Duration: 1h 37m",banda web3 - @solencontraluz el metodo web3 - monetiza ya!,Feb 15 2024,3,1h 37m,123,https://x.com/i/spaces/1dRKZEqwQYMxB
BandaWeb3,"BandaWeb3 - crudeando después de @consensus2024 
 -Ended: Jun 4 2024 - Speakers: 8 - Duration: 1h 25m",BandaWeb3 - crudeando después de @consensus2024,Jun 4 2024,8,1h 25m,98,https://x.com/i/spaces/1djGXNPbOpExZ
BandaWeb3,"BandaWeb3 - Bruncher House @baselatam 
 -Ended: Jun 13 2024 - Speakers: 3 - Duration: 1h 37m",BandaWeb3 - Bruncher House @baselatam,Jun 13 2024,3,1h 37m,203,https://x.com/i/spaces/1djGXNlODkjxZ
BandaWeb3,"BandaWeb3 #007 @Yisbelpd 
 -Ended: Oct 22 2024 - Speakers: 2 - Duration: 1h 38m",BandaWeb3 #007 @Yisbelpd,Oct 22 2024,2,1h 38m,51,https://x.com/i/spaces/1djxXrZANyNGZ
BandaWeb3,"BandaWeb3 - Verborrea con mexi.wtf 
 -Ended: Aug 13 2024 - Duration: 14m",BandaWeb3 - Verborrea con mexi.wtf,Aug 13 2024,,14m,13,https://x.com/i/spaces/1eaKbaomqaRxX
BandaWeb3,"BandaWeb3 #004 @natzcalli 
 -Ended: Sep 26 2024 - Speakers: 3 - Duration: 1h 44m",BandaWeb3 #004 @natzcalli,Sep 26 2024,3,1h 44m,144,https://x.com/i/spaces/1kvJpbZXeBQKE
BandaWeb3,"BandaWeb3 - #002 @sohobiit 
 -Ended: Sep 5 2024 - Duration: 1h 22m",BandaWeb3 - #002 @sohobiit,Sep 5 2024,,1h 22m,280,https://x.com/i/spaces/1kvJpbwePbwKE
BandaWeb3,"BandaWeb3 - @OrdinalsLATAM @Xverse_Es @trygamma 30-julio CDMX 
 -Ended: Jul 11 2024 - Speakers: 11 - Duration: 1h 36m",BandaWeb3 - @OrdinalsLATAM @Xverse_Es @trygamma 30-julio CDMX,Jul 11 2024,11,1h 36m,103,https://x.com/i/spaces/1kvJpvMMgyLKE
BandaWeb3,"banda web3 - maestría con especialización en blockchain 
 -Ended: Apr 11 2024 - Speakers: 8 - Duration: 2h 00m",banda web3 - maestría con especialización en blockchain,Apr 11 2024,8,2h 00m,152,https://x.com/i/spaces/1lDxLPAAkybxm
